,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
102,26-02-2020 00:26:26,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,,нет,2,Тбилиси,25 гр,0.0697,45445,17199,1557,700,True,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
103,26-02-2020 00:26:26,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1132,77906,29484,2670,1200,True,,,,,,,,50 gr 23% THC Amnesia Haze top quality
104,26-02-2020 00:26:26,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,,нет,1,Тбилиси,50 гр,0.0995,64856,24545,2222,999,True,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
105,26-02-2020 00:26:26,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,,нет,2,Тбилиси,50 гр,0.0986,61675,23342,2113,950,True,,,,,,,,Hybrid Skunk! 50 gr
106,26-02-2020 00:26:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2076,129843,49140,4449,2000,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
107,26-02-2020 00:26:26,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,,нет,1,Тбилиси,100 гр,0.1868,116858,44226,4004,1800,True,,,,,,,,Hybrid Skunk! 100 gr
108,26-02-2020 00:26:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2595,162303,61425,5562,2500,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
109,26-02-2020 00:26:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4774,298638,113022,10233,4600,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
110,26-02-2020 00:26:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7784,486910,184275,16685,7500,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
111,26-02-2020 00:26:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8822,551831,208845,18909,8500,True,,,,,,,,10000sht marki 25i-nbome. predoplata
112,26-02-2020 00:26:26,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0189,12984,4914,445,200,True,,,,,,,,KURYER..500RUB.+BONUS
113,26-02-2020 00:26:26,Tbilisi,3TGJ9,Elegant,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0189,12984,4914,445,200,True,,,,,,,,Trebuetsja Kur'er
114,26-02-2020 00:26:26,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0208,12984,4914,445,200,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
115,26-02-2020 00:26:26,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0259,16230,6143,556,250,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
116,26-02-2020 00:26:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5709,973820,368550,33369,15000,True,,,,,,,,Vakansija optovogo kur'era na mef
117,26-02-2020 00:28:15,Batumi,6KB,Marioshop,XTC-MDMA 0.5g purity 93%+,,4,нет,Батуми,0.5 гр,0.0083,5129,1941,176,79,,,,,,True,,,XTC-MDMA 0.5g purity 93%+
118,26-02-2020 00:28:15,Batumi,XHR,420Factory,Power Africa 1g,,4,нет,Батуми,1 гр,0.0047,3246,1229,111,50,,,,,,True,,,Power Africa 1g
119,26-02-2020 00:28:15,Batumi,O9SXJ,Parnavaz,"Шишки / weed OG Kush, 5гр",,1,нет,Батуми,5 гр,0.0194,12010,4545,412,185,,,,,,True,,,"Shishki / weed OG Kush, 5gr"
120,26-02-2020 00:28:15,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,9,Батуми,0.27 гр,0.0238,14737,5577,505,227,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
121,26-02-2020 00:28:15,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0189,12984,4914,445,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
122,26-02-2020 00:28:15,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0986,61675,23342,2113,950,,,,,,True,,,Hybrid Skunk! 50 gr
123,26-02-2020 00:28:15,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1868,116858,44226,4004,1800,,,,,,True,,,Hybrid Skunk! 100 gr
124,26-02-2020 00:28:15,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3145,194764,73710,6674,3000,,,,,,True,,,SUBOXIN - HQ - 100 G.
125,26-02-2020 00:28:15,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,4,Батуми,150 гр,0.2621,162303,61425,5562,2500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
126,26-02-2020 00:28:15,Batumi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0105,6492,2457,222,100,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
127,26-02-2020 00:28:15,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0047,3246,1229,111,50,,,,,,True,,,kur'er v Batumi
128,26-02-2020 00:28:15,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0047,3246,1229,111,50,,,,,,True,,,Vakansija Kur'era v Batumi
129,26-02-2020 00:28:15,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0073,5000,2301,171,,,,,,,True,,,Vakansija Kur'era v Batumi
130,26-02-2020 00:28:15,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,16230,6143,556,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
131,26-02-2020 00:28:15,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,16230,6143,556,250,,,,,,True,,,Ischu kur'era v Gruzii!
132,26-02-2020 00:28:15,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5709,973820,368550,33369,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
133,26-02-2020 00:28:15,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,32461,12285,1112,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
134,26-02-2020 00:29:56,Kutaisi,O9SXJ,Parnavaz,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0078,4804,1818,165,74,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
135,26-02-2020 00:29:56,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0113,7012,2654,240,108,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
136,26-02-2020 00:29:56,Kutaisi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0105,6492,2457,222,100,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
