,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
108,108,04-02-2020 14:07:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0195,12782,5020,430,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
109,109,04-02-2020 14:07:29,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0195,12782,5020,430,200.0,,,,,,,,,,Trebuetsja Kur'er
110,110,04-02-2020 14:07:29,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0214,12782,5020,430,200.0,,,,,,,,,,Trebuetsja sotrudnik
111,111,04-02-2020 14:07:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0214,12782,5020,430,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
112,112,04-02-2020 14:07:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0268,15977,6275,537,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
113,113,04-02-2020 14:07:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6205,958637,376500,32225,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
114,114,04-02-2020 14:08:34,Batumi,012f23b5ea,Power Africa 1g,,4,нет,Батуми,1 гр,0.0049,3195,1255,107,50.0,,,,,,,True,,,Power Africa 1g
115,115,04-02-2020 14:08:34,Batumi,d50134d8a6,zkittlez 1g,,8,нет,Батуми,1 гр,0.0044,2876,1130,97,45.0,,,,,,,True,,,zkittlez 1g
116,116,04-02-2020 14:08:34,Batumi,d4df7908c3,"Шишки OGKZ, 3гр.",,1,нет,Батуми,3 гр,161.1139,95224559,37399000,3200967,1490000.0,,,,,,,,True,,"Shishki OGKZ, 3gr."
117,117,04-02-2020 14:08:34,Batumi,16be2c8499,Мощные жирные марки 25i nbome 50шт. Готовые клады в Грузии от производителя!,,1,нет,Батуми,50 гр,0.0331,21729,8534,730,340.0,,,,,,,True,,,Moschnye zhirnye marki 25i nbome 50sht. Gotovye klady v Gruzii ot proizvoditelja!
118,118,04-02-2020 14:08:34,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G,,5,10,Батуми,0.27 гр,0.027000000000000003,15977,6275,537,250.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G
119,119,04-02-2020 14:08:34,Batumi,3a2bf2dc7c,suboxine HQ -1 G,,нет,3,Батуми,1 гр,0.0102,6071,2385,204,95.0,,,,,,,,True,,suboxine HQ -1 G
120,120,04-02-2020 14:08:34,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,3,19,Батуми,5 гр,0.0195,12782,5020,430,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
121,121,04-02-2020 14:08:34,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.1017,60714,23845,2041,950.0,,,,,,,True,,,Hybrid Skunk! 50 gr
122,122,04-02-2020 14:08:34,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1927,115036,45180,3867,1800.0,,,,,,,True,,,Hybrid Skunk! 100 gr
123,123,04-02-2020 14:08:34,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3244,191727,75300,6445,3000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
124,124,04-02-2020 14:08:34,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2703,159773,62750,5371,2500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
125,125,04-02-2020 14:08:34,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0108,6391,2510,215,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
126,126,04-02-2020 14:08:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3195,1255,107,50.0,,,,,,,True,,,kur'er v Batumi
127,127,04-02-2020 14:08:34,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0049,3195,1255,107,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
128,128,04-02-2020 14:08:34,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,168,,,,,,,,True,,,Vakansija Kur'era v Batumi
129,129,04-02-2020 14:08:34,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0243,15977,6275,537,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
130,130,04-02-2020 14:08:34,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6205,958637,376500,32225,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
131,131,04-02-2020 14:08:34,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0535,31955,12550,1074,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
132,132,04-02-2020 14:10:02,Kutaisi,d4df7908c3,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,4,Кутаиси,1 гр,0.004,2365,929,79,37.0,,,,,,,,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
133,133,04-02-2020 14:10:02,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.0114,6710,2636,226,105.0,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
134,134,04-02-2020 14:10:02,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 5g",,нет,3,Кутаиси,5 гр,0.0173,10225,4016,344,160.0,,,,,,,,,True,"Shishki/Weeds OG Kush, 5g"
135,135,04-02-2020 14:10:02,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0108,6391,2510,215,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
