,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
97,14-07-2020 17:31:41,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,31443,12074,1068,,,,390,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
98,14-07-2020 17:31:41,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0478,32169,12353,1092,,,,399,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
99,14-07-2020 17:31:41,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1663,112990,51992,3861,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
100,14-07-2020 17:31:41,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2632,178900,82321,6113,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
101,14-07-2020 17:31:41,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7113,2730,242,100,,,,,,,,,,True,,,kur'er v Batumi
102,14-07-2020 17:31:41,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17782,6825,605,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
103,14-07-2020 17:31:41,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17782,6825,605,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
104,14-07-2020 17:31:41,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14226,5460,484,200,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
105,14-07-2020 17:31:41,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5841,1066913,409500,36278,15000,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
106,14-07-2020 17:31:41,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,35564,13650,1209,500,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
107,14-07-2020 17:33:03,Kutaisi,2I03,bananaa,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.442,300158,115206,10206,4220,,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
